id,name,category,anatomic_region,modifier,color
LEFT_ADRENAL_GLAND,Left adrenal gland,C_BODY_STRUCTURE,T_ADRENAL_STRUCTURE,M_LEFT,"199,27,27"
RIGHT_ADRENAL_GLAND,Right adrenal gland,C_BODY_STRUCTURE,T_ADRENAL_STRUCTURE,M_RIGHT,"199,27,27"
AORTA,Aorta,C_BODY_STRUCTURE,T_AORTIC_STRUCTURE,,"224,97,76"
LEFT_AUTOCHTHONOUS_BACK_MUSCLE,Left autochthonous back muscle,C_TISSUE_STRUCTURE,T_MUSCLE_BACK_AUTOCHTHONOUS_STRUCTURE,M_LEFT,"192,104,88"
RIGHT_AUTOCHTHONOUS_BACK_MUSCLE,Right autochthonous back muscle,C_TISSUE_STRUCTURE,T_MUSCLE_BACK_AUTOCHTHONOUS_STRUCTURE,M_RIGHT,"192,104,88"
BRAIN,Brain,C_BODY_STRUCTURE,T_BRAIN_STRUCTURE,,"250,250,225"
LEFT_CLAVICLE,Left clavicle,C_BODY_STRUCTURE,T_BONE_CLAVICLE_STRUCTURE,M_LEFT,"241,188,38"
RIGHT_CLAVICLE,Right clavicle,C_BODY_STRUCTURE,T_BONE_CLAVICLE_STRUCTURE,M_RIGHT,"241,188,38"
COLON,Colon,C_BODY_STRUCTURE,T_COLON_STRUCTURE,,"204,168,143"
DUODENUM,Duodenum,C_BODY_STRUCTURE,T_DUODENAL_STRUCTURE,,"255,253,229"
ESOPHAGUS,Esophagus,C_BODY_STRUCTURE,T_ESOPHAGEAL_STRUCTURE,,"211,171,143"
FACE,Face,C_BODY_STRUCTURE,T_FACE_STRUCTURE,,"140,139,139"
LEFT_FEMUR,Left femur,C_BODY_STRUCTURE,T_BONE_FEMUR_STRUCTURE,M_LEFT,"130,222,207"
RIGHT_FEMUR,Right femur,C_BODY_STRUCTURE,T_BONE_FEMUR_STRUCTURE,M_RIGHT,"130,222,207"
GALLBLADDER,Gallbladder,C_BODY_STRUCTURE,T_GALLBLADDER_STRUCTURE,,"139,150,98"
LEFT_GLUTEUS_MAXIMUS,Left gluteus maximus,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MAXIMUS_STRUCTURE,M_LEFT,"192,104,88"
RIGHT_GLUTEUS_MAXIMUS,Right gluteus maximus,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MAXIMUS_STRUCTURE,M_RIGHT,"192,104,88"
LEFT_GLUTEUS_MEDIUS,Left gluteus medius,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MEDIUS_STRUCTURE,M_LEFT,"192,104,88"
RIGHT_GLUTEUS_MEDIUS,Right gluteus medius,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MEDIUS_STRUCTURE,M_RIGHT,"192,104,88"
LEFT_GLUTEUS_MINIMUS,Left gluteus minimus,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MINIMUS_STRUCTURE,M_LEFT,"192,104,88"
RIGHT_GLUTEUS_MINIMUS,Right gluteus minimus,C_TISSUE_STRUCTURE,T_MUSCLE_GLUTEUS_MINIMUS_STRUCTURE,M_RIGHT,"192,104,88"
LEFT_ATRIUM,Left atrium,C_BODY_STRUCTURE,T_ATRIAL_STRUCTURE,M_LEFT,"193,156,49"
RIGHT_ATRIUM,Right atrium,C_BODY_STRUCTURE,T_ATRIAL_STRUCTURE,M_RIGHT,"193,156,49"
MYOCARDIUM,Myocardium,C_TISSUE_STRUCTURE,T_MUSCLE_MYOCARDIUM_STRUCTURE,,"192,104,88"
LEFT_VENTRICLE,Left ventricle,C_BODY_STRUCTURE,T_CARDIAC_VENTRICULAR_LEFT_STRUCTURE,,"152,55,13"
RIGHT_VENTRICLE,Right ventricle,C_BODY_STRUCTURE,T_CARDIAC_VENTRICULAR_RIGHT_STRUCTURE,,"181,85,57"
LEFT_HIP,Left hip,C_TISSUE_STRUCTURE,T_BONE_HIP_STRUCTURE,,"241,214,145"
RIGHT_HIP,Right hip,C_TISSUE_STRUCTURE,T_BONE_HIP_STRUCTURE,,"241,214,145"
LEFT_HUMERUS,Left humerus,C_BODY_STRUCTURE,T_BONE_HUMERUS_STRUCTURE,M_LEFT,"95,229,185"
RIGHT_HUMERUS,Right humerus,C_BODY_STRUCTURE,T_BONE_HUMERUS_STRUCTURE,M_RIGHT,"95,229,185"
LEFT_ILIAC_ARTERY,Left iliac artery,C_BODY_STRUCTURE,T_ILIAC_ARTERY_COMMON_STRUCTURE,M_LEFT,"217,162,48"
RIGHT_ILIAC_ARTERY,Right iliac artery,C_BODY_STRUCTURE,T_ILIAC_ARTERY_COMMON_STRUCTURE,M_RIGHT,"217,162,48"
LEFT_ILIAC_VEIN,Left iliac vein,C_BODY_STRUCTURE,T_ILIAC_VEIN_COMMON_STRUCTURE,M_LEFT,"197,174,37"
RIGHT_ILIAC_VEIN,Right iliac vein,C_BODY_STRUCTURE,T_ILIAC_VEIN_COMMON_STRUCTURE,M_RIGHT,"197,174,37"
LEFT_ILIOPSOAS,Left iliopsoas,C_TISSUE_STRUCTURE,T_MUSCLE_ILIOPSOAS_STRUCTURE,M_LEFT,"192,104,88"
RIGHT_ILIOPSOAS,Right iliopsoas,C_TISSUE_STRUCTURE,T_MUSCLE_ILIOPSOAS_STRUCTURE,M_RIGHT,"192,104,88"
INFERIOR_VENA_CAVA,Inferior vena cava,C_BODY_STRUCTURE,T_INFERIOR_VENA_CAVA_STRUCTURE,,"110,165,54"
SUPERIOR_VENA_CAVA,Superior vena cava,C_BODY_STRUCTURE,T_SUPERIOR_VENA_CAVA_STRUCTURE,,"56,135,219"
LEFT_KIDNEY,Left kidney,C_BODY_STRUCTURE,T_KIDNEY_STRUCTURE,M_LEFT,"212,126,151"
RIGHT_KIDNEY,Right kidney,C_BODY_STRUCTURE,T_KIDNEY_STRUCTURE,M_RIGHT,"212,126,151"
KIDNEY,Kidney,C_BODY_STRUCTURE,T_KIDNEY_STRUCTURE,,"212,126,151"
LIVER,Liver,C_BODY_STRUCTURE,T_LIVER_STRUCTURE,,"221,130,101"
LEFT_LUNG,Left lung,C_BODY_STRUCTURE,T_LUNG,M_LEFT,"195,156,89"
RIGHT_LUNG,Right lung,C_BODY_STRUCTURE,T_LUNG,M_RIGHT,"81,166,79"
LEFT_LOWER_LUNG_LOBE,Left lower lung lobe,C_BODY_STRUCTURE,T_LUNG_LOBE_LOWER_STRUCTURE,M_LEFT,"242,150,232"
RIGHT_LOWER_LUNG_LOBE,Right lower lung lobe,C_BODY_STRUCTURE,T_LUNG_LOBE_LOWER_STRUCTURE,M_RIGHT,"117,212,208"
RIGHT_MIDDLE_LUNG_LOBE,Right middle lung lobe,C_BODY_STRUCTURE,T_LUNG_LOBE_MIDDLE_RIGHT_STRUCTURE,,"202,164,140"
LEFT_UPPER_LUNG_LOBE,Left upper lung lobe,C_BODY_STRUCTURE,T_LUNG_LOBE_UPPER_STRUCTURE,M_LEFT,"112,162,95"
RIGHT_UPPER_LUNG_LOBE,Right upper lung lobe,C_BODY_STRUCTURE,T_LUNG_LOBE_UPPER_STRUCTURE,M_RIGHT,"173,69,44"
PANCREAS,Pancreas,C_BODY_STRUCTURE,T_PANCREATIC_STRUCTURE,,"249,180,111"
PORTAL_AND_SPLENIC_VEIN,Portal and splenic vein,C_TISSUE_STRUCTURE,T_VENOUS_STRUCTURE,,"0,151,206"
PULMONARY_ARTERY,Pulmonary artery,C_BODY_STRUCTURE,T_ARTERY_PULMONARY_STRUCTURE,,"0,122,171"
LEFT_RIB_10,Left rib 10,C_TISSUE_STRUCTURE,T_BONE_RIB_10_STRUCTURE,M_LEFT,"241,214,145"
LEFT_RIB_11,Left rib 11,C_TISSUE_STRUCTURE,T_BONE_RIB_11_STRUCTURE,M_LEFT,"241,214,145"
LEFT_RIB_12,Left rib 12,C_TISSUE_STRUCTURE,T_BONE_RIB_12_STRUCTURE,M_LEFT,"241,214,145"
LEFT_RIB_1,Left rib 1,C_TISSUE_STRUCTURE,T_BONE_RIB_1_STRUCTURE,M_LEFT,"241,214,145"
LEFT_RIB_2,Left rib 2,C_TISSUE_STRUCTURE,T_BONE_RIB_2_STRUCTURE,M_LEFT,"241,214,145"
