edit a file in a new buffer, :e file
go to next buffer, :bn
go to previous buffer, :bp
remove file from buffer list, :bd
open buffer 5, :b 5
to to buffer by file, :b file
list all open buffers, :ls
open and split window, :sp file
open and vertically split window, :vs file
hide buffer, :hid
write file and move to next, :wn
edit all buffers as tabs, :tab ba
split window, ^+w s
split window vertically, ^+w v
switch windows, ^+w w
quit window, ^+w q
break out into a new tab, ^+w T
swap current with next, ^+w x
decrease/increase height, ^+w -/+
decrease/increase width, ^+w </>
Max out width, ^+w |
equally high and wide, ^+w =
Go to left/right window, ^+w h/l
Go to up/down window, ^+w k/j
edit file in a new tab, :tabe file
open if exists in new tab, :tabf file
close current tab, :tabc
close all tabs except current, :tabo
list all tabs, :tabs
go to first tab, :tabr
go to last tab, :tabl
move to position 0, :tabm 0
go to next tab, :tabn
go to previous tab, :tabp
