id,CodeValue,CodingSchemeDesignator,CodeMeaning
T_ADRENAL_STRUCTURE,23451007,SCT,Adrenal structure
T_AORTIC_STRUCTURE,15825003,SCT,Aortic structure
T_MUSCLE_STRUCTURE,71616004,SCT,Muscle structure
T_BRAIN_STRUCTURE,12738006,SCT,Brain structure
T_BONE_CLAVICLE_STRUCTURE,51299004,SCT,Bone structure of clavicle
T_COLON_STRUCTURE,71854001,SCT,Colon structure
T_DUODENAL_STRUCTURE,38848004,SCT,Duodenal structure
T_ESOPHAGEAL_STRUCTURE,32849002,SCT,Esophageal structure
T_FACE_STRUCTURE,89545001,SCT,Face structure
T_BONE_FEMUR_STRUCTURE,71341001,SCT,Bone structure of femur
T_GALLBLADDER_STRUCTURE,28231008,SCT,Gallbladder structure
T_ATRIAL_STRUCTURE,59652004,SCT,Atrial structure
T_CARDIAC_VENTRICULAR_LEFT_STRUCTURE,87878005,SCT,Left cardiac ventricular structure
T_CARDIAC_VENTRICULAR_RIGHT_STRUCTURE,53085002,SCT,Right cardiac ventricular structure
T_BONE_STRUCTURE,272673000,SCT,Bone structure
T_BONE_HUMERUS_STRUCTURE,85050009,SCT,Bone structure of humerus
T_ILIAC_ARTERY_COMMON_STRUCTURE,73634005,SCT,Common iliac artery structure
T_ILIAC_VEIN_COMMON_STRUCTURE,46027005,SCT,Structure of common iliac vein
T_INFERIOR_VENA_CAVA_STRUCTURE,64131007,SCT,Inferior vena cava structure
T_SUPERIOR_VENA_CAVA_STRUCTURE,48345005,SCT,Superior vena cava structure
T_KIDNEY_STRUCTURE,64033007,SCT,Kidney structure
T_LIVER_STRUCTURE,10200004,SCT,Liver structure
T_LUNG,39607008,SCT,Structure of lung
T_LUNG_LOBE_LOWER_STRUCTURE,90572001,SCT,Structure of lower lobe of lung
T_LUNG_LOBE_MIDDLE_RIGHT_STRUCTURE,72481006,SCT,Structure of middle lobe of right lung
T_LUNG_LOBE_UPPER_STRUCTURE,45653009,SCT,Structure of upper lobe of lung
T_PANCREATIC_STRUCTURE,15776009,SCT,Pancreatic structure
T_VENOUS_STRUCTURE,29092000,SCT,Venous structure
T_ARTERY_PULMONARY_STRUCTURE,81040000,SCT,Pulmonary artery structure
T_BONE_SACRUM_STRUCTURE,54735007,SCT,Bone structure of sacrum
T_BONE_SCAPULA_STRUCTURE,79601000,SCT,Bone structure of scapula
T_INTESTINE_SMALL_STRUCTURE,30315005,SCT,Structure of small intestine
T_SPLENIC_STRUCTURE,78961009,SCT,Splenic structure
T_STOMACH_STRUCTURE,69695003,SCT,Stomach structure
T_TRACHEAL_STRUCTURE,44567001,SCT,Tracheal structure
T_BLADDER_STRUCTURE,89837001,SCT,Urinary bladder structure
T_NEOPLASM_MALIGNANT_PRIMARY_MABNORMALITY,86049000,SCT,"Malignant neoplasm, primary (morphologic abnormality)"
T_ARTERY_CORONARY_CFLX_LEFT_STRUCTURE,57396003,SCT,Structure of circumflex branch of left coronary artery
T_ARTERY_CORONARY_RIGHT_STRUCTURE,13647002,SCT,Right coronary artery structure
T_ARTERY_CORONARY_LEFT_STRUCTURE,3227004,SCT,Structure of left main coronary artery
T_ARTERY_CORONARY_AD_LEFT_STRUCTURE,59438005,SCT,Structure of left anterior descending artery
T_ARTERY_CORONARY_STRUCTURE,41801008,SCT,Coronary artery structure (body structure)
T_HEART_STRUCTURE,80891009,SCT,Heart structure
T_VALVE_AORTIC_STRUCTURE,34202007,SCT,Aortic valve structure
T_VALVE_MITRAL_STRUCTURE,91134007,SCT,Mitral valve structure
T_VALVE_PULMONARY_STRUCTURE,39057004,SCT,Pulmonary valve structure
T_VALVE_TRICUSPID_STRUCTURE,46030003,SCT,Tricuspid valve structure
T_NODE_SINOATRIAL_STRUCTURE,88210001,SCT,Structure of sinoatrial node
T_NODE_ATRIOVENTRICULAR_STRUCTURE,25943004,SCT,Structure of atrioventricular node
T_MUSCLE_BACK_AUTOCHTHONOUS_STRUCTURE,244849004,SCT,Autochthonous back muscle structure
T_MUSCLE_GLUTEUS_MAXIMUS_STRUCTURE,181674001,SCT,Muscle structure of the gluteus maximus
T_MUSCLE_GLUTEUS_MEDIUS_STRUCTURE,78333006,SCT,Muscle structure of the gluteus medius
T_MUSCLE_GLUTEUS_MINIMUS_STRUCTURE,75297007,SCT,Muscle structure of the gluteus minumus
T_MUSCLE_MYOCARDIUM_STRUCTURE,74281007,SCT,Muscle structure of the myocardium
T_MUSCLE_ILIOPSOAS_STRUCTURE,68455001,SCT,Muscle structure of the iliopsoas
T_BONE_HIP_STRUCTURE,29836001,SCT,Bone structure of the hip
T_BONE_RIB_1_STRUCTURE,48535007,SCT,Bone structure of first rib
T_BONE_RIB_2_STRUCTURE,78247007,SCT,Bone structure of second rib
T_BONE_RIB_3_STRUCTURE,25888004,SCT,Bone structure of third rib
T_BONE_RIB_4_STRUCTURE,25523003,SCT,Bone structure of fourth rib
T_BONE_RIB_5_STRUCTURE,15339008,SCT,Bone structure of fifth rib
T_BONE_RIB_6_STRUCTURE,59558009,SCT,Bone structure of sixth rib
T_BONE_RIB_7_STRUCTURE,24915002,SCT,Bone structure of seventh rib
T_BONE_RIB_8_STRUCTURE,5953002,SCT,Bone structure of eight rib
T_BONE_RIB_9_STRUCTURE,22565002,SCT,Bone structure of ninth rib
T_BONE_RIB_10_STRUCTURE,77644006,SCT,Bone structure of tenth rib
T_BONE_RIB_11_STRUCTURE,58830002,SCT,Bone structure of eleventh rib
T_BONE_RIB_12_STRUCTURE,43993008,SCT,Bone structure of twelfth rib
T_BONE_VERTEBRAE_C1_STRUCTURE,14806007,SCT,Bone structure of vertebrae C1
T_BONE_VERTEBRAE_C2_STRUCTURE,39976000,SCT,Bone structure of vertebrae C2
T_BONE_VERTEBRAE_C3_STRUCTURE,113205007,SCT,Bone structure of vertebrae C3
T_BONE_VERTEBRAE_C4_STRUCTURE,5329002,SCT,Bone structure of vertebrae C4
T_BONE_VERTEBRAE_C5_STRUCTURE,36978003,SCT,Bone structure of vertebrae C5
T_BONE_VERTEBRAE_C6_STRUCTURE,36054005,SCT,Bone structure of vertebrae C6
T_BONE_VERTEBRAE_C7_STRUCTURE,87391001,SCT,Bone structure of vertebrae C7
T_BONE_VERTEBRAE_L1_STRUCTURE,66794005,SCT,Bone structure of vertebrae L1
T_BONE_VERTEBRAE_L2_STRUCTURE,14293000,SCT,Bone structure of vertebrae L2
T_BONE_VERTEBRAE_L3_STRUCTURE,36470004,SCT,Bone structure of vertebrae L3
T_BONE_VERTEBRAE_L4_STRUCTURE,11994002,SCT,Bone structure of vertebrae L4
T_BONE_VERTEBRAE_L5_STRUCTURE,49668003,SCT,Bone structure of vertebrae L5
T_BONE_VERTEBRAE_T1_STRUCTURE,64864005,SCT,Bone structure of vertebrae T1
T_BONE_VERTEBRAE_T2_STRUCTURE,53733008,SCT,Bone structure of vertebrae T2
T_BONE_VERTEBRAE_T3_STRUCTURE,1626008,SCT,Bone structure of vertebrae T3
T_BONE_VERTEBRAE_T4_STRUCTURE,73071006,SCT,Bone structure of vertebrae T4
T_BONE_VERTEBRAE_T5_STRUCTURE,56401006,SCT,Bone structure of vertebrae T5
T_BONE_VERTEBRAE_T6_STRUCTURE,45296009,SCT,Bone structure of vertebrae T6
T_BONE_VERTEBRAE_T7_STRUCTURE,62487009,SCT,Bone structure of vertebrae T7
T_BONE_VERTEBRAE_T8_STRUCTURE,11068009,SCT,Bone structure of vertebrae T8
T_BONE_VERTEBRAE_T9_STRUCTURE,82687006,SCT,Bone structure of vertebrae T9
T_BONE_VERTEBRAE_T10_STRUCTURE,7610001,SCT,Bone structure of vertebrae T10
T_BONE_VERTEBRAE_T11_STRUCTURE,12989004,SCT,Bone structure of vertebrae T11
T_BONE_VERTEBRAE_T12_STRUCTURE,23215003,SCT,Bone structure of vertebrae T12
T_DISK_VERTEBRAE_C2C3_STRUCTURE,1078209008,SCT,Intervertebral disc structure of second cervical vertebra (body structure)
T_DISK_VERTEBRAE_C3C4_STRUCTURE,58820006,SCT,Intervertebral disc structure of third cervical vertebra (body structure)
T_DISK_VERTEBRAE_C4C5_STRUCTURE,49400002,SCT,Intervertebral disc structure of fourth cervical vertebra (body structure)
T_DISK_VERTEBRAE_C5C6_STRUCTURE,73959003,SCT,Intervertebral disc structure of fifth cervical vertebra (body structure)
T_DISK_VERTEBRAE_C6C7_STRUCTURE,75095006,SCT,Intervertebral disc structure of sixth cervical vertebra (body structure)
T_DISK_VERTEBRAE_C7T1_STRUCTURE,37414007,SCT,Intervertebral disc structure of seventh cervical vertebra (body structure)
T_DISK_VERTEBRAE_T1T2_STRUCTURE,40908007,SCT,Intervertebral disc structure of first thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T2T3_STRUCTURE,6004007,SCT,Intervertebral disc structure of second thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T3T4_STRUCTURE,2620004,SCT,Intervertebral disc structure of third thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T4T5_STRUCTURE,82965004,SCT,Intervertebral disc structure of fourth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T5T6_STRUCTURE,72692000,SCT,Intervertebral disc structure of fifth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T6T7_STRUCTURE,74401007,SCT,Intervertebral disc structure of sixth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T7T8_STRUCTURE,28693002,SCT,Intervertebral disc structure of seventh thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T8T9_STRUCTURE,9188009,SCT,Intervertebral disc structure of eighth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T9T10_STRUCTURE,113209001,SCT,Intervertebral disc structure of ninth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T10T11_STRUCTURE,34959001,SCT,Intervertebral disc structure of tenth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T11T12_STRUCTURE,1537001,SCT,Intervertebral disc structure of eleventh thoracic vertebra (body structure)
T_DISK_VERTEBRAE_T12L1_STRUCTURE,76206002,SCT,Intervertebral disc structure of twelfth thoracic vertebra (body structure)
T_DISK_VERTEBRAE_L1L2_STRUCTURE,80064006,SCT,Intervertebral disc structure of first lumbar vertebra (body structure)
T_DISK_VERTEBRAE_L2L3_STRUCTURE,67459009,SCT,Intervertebral disc structure of second lumbar vertebra (body structure)
T_DISK_VERTEBRAE_L3L4_STRUCTURE,62551000,SCT,Intervertebral disc structure of third lumbar vertebra (body structure)
T_DISK_VERTEBRAE_L4L5_STRUCTURE,84020006,SCT,Intervertebral disc structure of fourth lumbar vertebra (body structure)
T_DISK_VERTEBRAE_L5S1_STRUCTURE,715056000,SCT,Structure of intervertebral disc of L5 and S1 (body structure)
T_PROSTATIC_STRUCTURE,41216001,SCT,Prostatic structure
T_PROSTATIC_PZ_STRUCTURE,279706003,SCT,Structure of peripheral glandular zone of prostate (body structure)
T_PROSTATIC_TZ_STRUCTURE,399384005,SCT,Structure of transition zone of prostate (body structure)
T_CYST_MABNORMALITY,367643001,SCT,Cyst (morphologic abnormality)
T_SPINAL_CANAL_STRUCTURE,61853006,SCT,Spinal canal structure (body structure)
T_PATHOLOGIC_CALCIFICATION_MABNORMALITY,18115005,SCT,"Pathologic calcification, calcified structure (morphologic abnormality)"
T_RENAL_VEIN_STRUCTURE,56400007,SCT,Structure of renal vein (body structure)
T_PANCREATIC_DUCT_STRUCTURE,69930009,SCT,Pancreatic duct structure (body structure)
T_BILE_DUCT_STRUCTURE,28273000,SCT,Bile duct structure (body structure)
T_ARTERIAL_STRUCTURE,51114001,SCT,Arterial structure (body structure)
